[front_panel]
mode=T1 - R1
output=5 dB
gain=10 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=72
sound speed=2710
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [µs]	Amplitude	HF-filtered	Amplitude-filtered	
1,388E+01	1,179E-02	0,000E+00	0,000E+00	
1,392E+01	1,184E-02	0,000E+00	0,000E+00	
1,396E+01	1,190E-02	0,000E+00	0,000E+00	
1,400E+01	1,196E-02	0,000E+00	0,000E+00	
1,404E+01	1,202E-02	0,000E+00	0,000E+00	
1,408E+01	1,207E-02	0,000E+00	0,000E+00	
1,412E+01	1,212E-02	0,000E+00	0,000E+00	
1,416E+01	1,216E-02	0,000E+00	0,000E+00	
1,420E+01	1,219E-02	0,000E+00	0,000E+00	
1,424E+01	1,221E-02	0,000E+00	0,000E+00	
1,428E+01	1,221E-02	0,000E+00	0,000E+00	
1,432E+01	1,221E-02	0,000E+00	0,000E+00	
1,436E+01	1,219E-02	0,000E+00	0,000E+00	
1,440E+01	1,217E-02	0,000E+00	0,000E+00	
1,444E+01	1,213E-02	0,000E+00	0,000E+00	
1,448E+01	1,209E-02	0,000E+00	0,000E+00	
1,452E+01	1,205E-02	0,000E+00	0,000E+00	
1,456E+01	1,200E-02	0,000E+00	0,000E+00	
1,460E+01	1,195E-02	0,000E+00	0,000E+00	
1,464E+01	1,191E-02	0,000E+00	0,000E+00	
1,468E+01	1,187E-02	0,000E+00	0,000E+00	
1,472E+01	1,183E-02	0,000E+00	0,000E+00	
1,476E+01	1,181E-02	0,000E+00	0,000E+00	
1,480E+01	1,181E-02	0,000E+00	0,000E+00	
1,484E+01	1,181E-02	0,000E+00	0,000E+00	
1,488E+01	1,183E-02	0,000E+00	0,000E+00	
1,492E+01	1,187E-02	0,000E+00	0,000E+00	
1,496E+01	1,191E-02	0,000E+00	0,000E+00	
1,500E+01	1,196E-02	0,000E+00	0,000E+00	
1,504E+01	1,202E-02	0,000E+00	0,000E+00	
1,508E+01	1,208E-02	0,000E+00	0,000E+00	
1,512E+01	1,214E-02	0,000E+00	0,000E+00	
1,516E+01	1,219E-02	0,000E+00	0,000E+00	
1,520E+01	1,224E-02	0,000E+00	0,000E+00	
1,524E+01	1,227E-02	0,000E+00	0,000E+00	
1,528E+01	1,231E-02	0,000E+00	0,000E+00	
1,532E+01	1,234E-02	0,000E+00	0,000E+00	
1,536E+01	1,236E-02	0,000E+00	0,000E+00	
1,540E+01	1,239E-02	0,000E+00	0,000E+00	
1,544E+01	1,242E-02	0,000E+00	0,000E+00	
1,548E+01	1,244E-02	0,000E+00	0,000E+00	
1,552E+01	1,248E-02	0,000E+00	0,000E+00	
1,556E+01	1,251E-02	0,000E+00	0,000E+00	
1,560E+01	1,254E-02	0,000E+00	0,000E+00	
1,564E+01	1,256E-02	0,000E+00	0,000E+00	
1,568E+01	1,257E-02	0,000E+00	0,000E+00	
1,572E+01	1,257E-02	0,000E+00	0,000E+00	
1,576E+01	1,255E-02	0,000E+00	0,000E+00	
1,580E+01	1,252E-02	0,000E+00	0,000E+00	
1,584E+01	1,247E-02	0,000E+00	0,000E+00	
1,588E+01	1,241E-02	0,000E+00	0,000E+00	
1,592E+01	1,233E-02	0,000E+00	0,000E+00	
1,596E+01	1,225E-02	0,000E+00	0,000E+00	
1,600E+01	1,217E-02	0,000E+00	0,000E+00	
1,604E+01	1,210E-02	0,000E+00	0,000E+00	
1,608E+01	1,202E-02	0,000E+00	0,000E+00	
1,612E+01	1,196E-02	0,000E+00	0,000E+00	
1,616E+01	1,191E-02	0,000E+00	0,000E+00	
1,620E+01	1,186E-02	0,000E+00	0,000E+00	
1,624E+01	1,183E-02	0,000E+00	0,000E+00	
1,628E+01	1,180E-02	0,000E+00	0,000E+00	
1,632E+01	1,177E-02	0,000E+00	0,000E+00	
1,636E+01	1,175E-02	0,000E+00	0,000E+00	
1,640E+01	1,173E-02	0,000E+00	0,000E+00	
1,644E+01	1,171E-02	0,000E+00	0,000E+00	
1,648E+01	1,169E-02	0,000E+00	0,000E+00	
1,652E+01	1,167E-02	0,000E+00	0,000E+00	
1,656E+01	1,166E-02	0,000E+00	0,000E+00	
1,660E+01	1,164E-02	0,000E+00	0,000E+00	
1,664E+01	1,163E-02	0,000E+00	0,000E+00	
1,668E+01	1,163E-02	0,000E+00	0,000E+00	
1,672E+01	1,163E-02	0,000E+00	0,000E+00	
1,676E+01	1,164E-02	0,000E+00	0,000E+00	
1,680E+01	1,165E-02	0,000E+00	0,000E+00	
1,684E+01	1,168E-02	0,000E+00	0,000E+00	
1,688E+01	1,171E-02	0,000E+00	0,000E+00	
1,692E+01	1,174E-02	0,000E+00	0,000E+00	
1,696E+01	1,178E-02	0,000E+00	0,000E+00	
1,700E+01	1,182E-02	0,000E+00	0,000E+00	
1,704E+01	1,186E-02	0,000E+00	0,000E+00	
1,708E+01	1,190E-02	0,000E+00	0,000E+00	
1,712E+01	1,193E-02	0,000E+00	0,000E+00	
1,716E+01	1,195E-02	0,000E+00	0,000E+00	
1,720E+01	1,196E-02	0,000E+00	0,000E+00	
1,724E+01	1,196E-02	0,000E+00	0,000E+00	
1,728E+01	1,195E-02	0,000E+00	0,000E+00	
1,732E+01	1,194E-02	0,000E+00	0,000E+00	
1,736E+01	1,191E-02	0,000E+00	0,000E+00	
1,740E+01	1,189E-02	0,000E+00	0,000E+00	
1,744E+01	1,186E-02	0,000E+00	0,000E+00	
1,748E+01	1,184E-02	0,000E+00	0,000E+00	
1,752E+01	1,182E-02	0,000E+00	0,000E+00	
1,756E+01	1,181E-02	0,000E+00	0,000E+00	
1,760E+01	1,181E-02	0,000E+00	0,000E+00	
1,764E+01	1,183E-02	0,000E+00	0,000E+00	
1,768E+01	1,185E-02	0,000E+00	0,000E+00	
1,772E+01	1,188E-02	0,000E+00	0,000E+00	
1,776E+01	1,191E-02	0,000E+00	0,000E+00	
1,780E+01	1,195E-02	0,000E+00	0,000E+00	
1,784E+01	1,199E-02	0,000E+00	0,000E+00	
1,788E+01	1,202E-02	0,000E+00	0,000E+00	
1,792E+01	1,205E-02	0,000E+00	0,000E+00	
1,796E+01	1,207E-02	0,000E+00	0,000E+00	
1,800E+01	1,207E-02	0,000E+00	0,000E+00	
